"Country","Climate zone","Avg °F","Avg °C","Total Score and Status","Population","GDP","HDI","death_number"
"Finland","DFC",42.15,5.64,"100 Free",5521606,2.68508e+11,0.939,192652.234770048
"France","CFB",54.39,12.44,"89 Free",67248926,2.72887e+12,0.905,68324.8829475052
"France","CFB",54.39,12.44,"89 Free",67248926,2.72887e+12,0.905,897074.675427341
"Gabon","AW",80.06,26.7,"21 Not Free",2172578,16874405840,0.709,986.707391379534
"Gabon","AW",80.06,26.7,"21 Not Free",2172578,16874405840,0.709,22030.4953179296
"Georgia","CFA",53.8,12.11,"58 Partly Free",3720161,17470436259,0.81,13916.831844889
"Georgia","CFA",53.8,12.11,"58 Partly Free",3720161,17470436259,0.81,233146.680727284
"Germany","CFB",51.22,10.68,"94 Free",83092962,3.88833e+12,0.948,184322.654766431
"Germany","CFB",51.22,10.68,"94 Free",83092962,3.88833e+12,0.948,2477720.70618486
"Ghana","AW",83.95,28.86,"80 Free",30417858,68337537816,0.631,15888.2770856302
"Ghana","AW",83.95,28.86,"80 Free",30417858,68337537816,0.631,357915.476635509
"Greece","CSA",62.64,17.02,"87 Free",10721582,2.05144e+11,0.889,26142.4460120849
"Greece","CSA",62.64,17.02,"87 Free",10721582,2.05144e+11,0.889,376237.071551049
"Grenada","AW",81.68,27.6,"89 Free",112002,1213485185,0.8,105.199570252963
"Grenada","AW",81.68,27.6,"89 Free",112002,1213485185,0.8,2207.61203859674
"Guatemala","AM",71.1,21.72,"51 Partly Free",16604026,77020015201,0.642,9408.46204001334
"Guatemala","AM",71.1,21.72,"51 Partly Free",16604026,77020015201,0.642,186937.17527564
"Guinea","AW",80.71,27.06,"34 Not Free",12771246,13442861444,0.467,5826.10949544286
"Guinea","AW",80.71,27.06,"34 Not Free",12771246,13442861444,0.467,127399.129535151
"Guinea-Bissau","AW",85.5,29.72,"43 Partly Free",1920917,1439638443,0.49,936.366313460937
"Guinea-Bissau","AW",85.5,29.72,"43 Partly Free",1920917,1439638443,0.49,24073.6427362108
"Guyana","AF",82.02,27.79,"73 Free",782775,5173760192,0.708,1047.07224927963
"Guyana","AF",82.02,27.79,"73 Free",782775,5173760192,0.708,24836.2835392795
"Haiti","AW",79.66,26.48,"33 Not Free",11263079,14785839383,0.543,11148.6902384485
"Haiti","AW",79.66,26.48,"33 Not Free",11263079,14785839383,0.543,268851.03427744
"Honduras","AM",75.97,24.43,"47 Partly Free",9746115,25089976947,0.632,7606.49234738591
"Honduras","AM",75.97,24.43,"47 Partly Free",9746115,25089976947,0.632,151449.915605311
"Hungary","CFB",55.47,13.04,"69 Partly Free",9771141,1.63526e+11,0.853,35930.5557408268
"Hungary","CFB",55.47,13.04,"69 Partly Free",9771141,1.63526e+11,0.853,549531.967975928
"Iceland","ET",37.71,3.17,"94 Free",360563,24857740445,0.96,436.295567360266
"Iceland","ET",37.71,3.17,"94 Free",360563,24857740445,0.96,6026.64724263299
"India","AW",78.75,25.97,"66 Partly Free",1366417756,2.83155e+12,0.645,1519123.84615004
"India","AW",78.75,25.97,"66 Partly Free",1366417756,2.83155e+12,0.645,37233846.6478965
"Indonesia","AF",80.8,27.11,"59 Partly Free",270625567,1.1191e+12,0.716,245343.958094373
"Indonesia","AF",80.8,27.11,"59 Partly Free",270625567,1.1191e+12,0.716,6140193.78669115
"Iran","BWK",65.17,18.43,"14 Not Free",NA,NA,NA,NA
"Iraq","BWH",80.19,26.77,"29 Not Free",39309789,2.33636e+11,0.696,46847.9416100206
"Iraq","BWH",80.19,26.77,"29 Not Free",39309789,2.33636e+11,0.696,1070931.95004405
"Ireland","CFB",50.18,10.1,"97 Free",4934340,3.99122e+11,0.942,5809.68986312627
"Ireland","CFB",50.18,10.1,"97 Free",4934340,3.99122e+11,0.942,87627.7616644447
"Israel","BSH",72.84,22.69,"76 Free",9054000,3.97935e+11,0.921,6165.94846821281
"Israel","BSH",72.84,22.69,"76 Free",9054000,3.97935e+11,0.921,88443.2043024714
"Italy","CSA",58.05,14.47,"90 Free",59729081,2.01129e+12,0.897,101158.717541422
"Italy","CSA",58.05,14.47,"90 Free",59729081,2.01129e+12,0.897,1296123.62202541
"Jamaica","AW",80.29,26.83,"80 Free",2948277,15830768550,0.719,2109.36096525873
"Jamaica","AW",80.29,26.83,"80 Free",2948277,15830768550,0.719,37333.0676628959
"Japan","DFB",59.34,15.19,"96 Free",126633000,5.12332e+12,0.924,140588.250656733
"Japan","DFB",59.34,15.19,"96 Free",126633000,5.12332e+12,0.924,1836369.5399829
"Jordan","CFA",71.91,22.17,"33 Not Free",10101697,44502895915,0.727,6110.95803606501
"Jordan","CFA",71.91,22.17,"33 Not Free",10101697,44502895915,0.727,147480.625108614
"Kazakhstan","BSK",48.79,9.33,"23 Not Free",18513673,1.81667e+11,0.819,33047.1666201948
"Kazakhstan","BSK",48.79,9.33,"23 Not Free",18513673,1.81667e+11,0.819,631581.612984011
"Kenya","AW",72.5,22.5,"48 Partly Free",52573967,1.0038e+11,0.581,13716.6461224949
"Kenya","AW",72.5,22.5,"48 Partly Free",52573967,1.0038e+11,0.581,334783.614339626
"Kiribati","AF",81.68,27.6,"93 Free",117608,177935349.3,0.63,157.605293886727
"Kiribati","AF",81.68,27.6,"93 Free",117608,177935349.3,0.63,5033.62703678962
"Kosovo","CFB",54.25,12.36,"56 Partly Free",1788878,7899879086,NA,NA
"Kuwait","BWH",83.89,28.83,"37 Partly Free",4207077,1.36197e+11,0.839,2599.19054133648
"Kuwait","BWH",83.89,28.83,"37 Partly Free",4207077,1.36197e+11,0.839,71676.9102457272
"Kyrgyzstan","DFB",49.3,9.61,"27 Not Free",NA,NA,0.698,11482.937321812
"Kyrgyzstan","DFB",49.3,9.61,"27 Not Free",NA,NA,0.698,210216.589866772
"Laos","CWA",77.7,25.39,"13 Not Free",NA,NA,NA,NA
"Latvia","DFB",46.53,8.07,"88 Free",1913822,34308783825,0.871,9020.75103335232
"Latvia","DFB",46.53,8.07,"88 Free",1913822,34308783825,0.871,134385.04093026
"Lebanon","CSA",67.86,19.92,"42 Partly Free",6855709,51605959131,0.745,12251.4197187393
"Lebanon","CSA",67.86,19.92,"42 Partly Free",6855709,51605959131,0.745,233371.60579433
"Lesotho","CWB",60.91,16.06,"63 Partly Free",2125267,2451257579,0.524,1270.4358454675
"Lesotho","CWB",60.91,16.06,"63 Partly Free",2125267,2451257579,0.524,31783.0096676863
"Liberia","AM",80.35,26.86,"60 Partly Free",4937374,3319596500,0.484,1888.22998945512
"Liberia","AM",80.35,26.86,"60 Partly Free",4937374,3319596500,0.484,43292.2216569738
