"Country","Climate_Zone","Avg_Temp_F","Avg_Temp_C","Freedom_Score","Freedom_Status","Political_Rights","Civil_Liberties","Population","GDP","HDI","Heart_Disease_Deaths","Healthcare_Spending"
"Mozambique","AW",78.12,25.62,"43","Partly Free",14,29,30366043,15390031040,0.456,8936.37210663838,39.46094131
"Myanmar","AW",80.64,27.02,"9","Not Free",0,9,54045422,68697759361,0.598,40583.2029928784,60.01587296
"Namibia","BWH",76.03,24.46,"77","Free",31,46,2494524,12543203411,0.639,1373.77218686899,427.2562256
"Nepal","CWB",71.6,22,"57","Partly Free",25,32,28608715,34186190996,0.611,23742.5838229947,53.24640274
"Netherlands","CFB",52.86,11.59,"97","Free",39,58,17344874,9.10194e+11,0.943,17642.1348771417,5335.30127
"New Zealand","CFB",55.53,13.07,"99","Free",40,59,4979200,2.13435e+11,0.937,6491.93136596657,4211.046387
"Nicaragua","AM",79.66,26.48,"23","Not Free",5,18,6545503,12596636042,0.664,5091.06488651161,160.7587891
"Niger","BWH",89.67,32.04,"51","Partly Free",23,28,23310719,12916455161,0.406,6756.26287663045,31.39763641
"Nigeria","AW",85.03,29.46,"43","Partly Free",20,23,200963603,4.4812e+11,0.538,69581.497421776,71.46572876
"North Macedonia","CFB",55.92,13.29,"67","Partly Free",28,39,2076694,12606338449,0.784,5155.79763273725,436.8871765
"Norway","DFC",41.05,5.03,"100","Free",40,60,5347896,4.04941e+11,0.961,6270.68082315692,8007.397949
"Oman","BWH",84.56,29.2,"24","Not Free",6,18,4974992,88060858257,0.839,3411.64571059921,624.7444458
"Pakistan","BWH",69.6,20.89,"37","Partly Free",15,22,216565317,3.20909e+11,0.546,183409.434261014,39.49928665
"Palau","AF",83.35,28.53,"92","Free",37,55,18001,274200000,0.776,40.8203986611922,2355.695801
"Panama","AM",80.37,26.87,"83","Free",35,48,4246440,66984427200,0.817,2510.95678053174,1192.820801
"Papua New Guinea","AF",73.45,23.03,"62","Partly Free",23,39,8776119,24751344561,0.56,7083.79552705665,65.08071899
"Paraguay","AW",77.11,25.06,"65","Partly Free",28,37,7044639,37925338329,0.732,4752.74995133458,388.3932495
"Peru","AF",63.73,17.63,"72","Free",30,42,32510462,2.28323e+11,0.78,16047.6085278154,370.1099548
"Philippines","AF",81,27.22,"55","Partly Free",25,30,108116622,3.76823e+11,0.718,97412.1370462447,142.0787659
"Poland","CFB",51.08,10.6,"81","Free",34,47,37965475,5.97281e+11,0.881,97188.3567054697,1014.038208
"Portugal","CSA",62.26,16.81,"95","Free",39,56,10286263,2.39987e+11,0.867,12989.9529717878,2221.439209
"Qatar","BWH",85.53,29.74,"25","Not Free",7,18,2832071,1.75838e+11,0.859,830.008136951817,1807.153931
"Romania","DFB",55.15,12.86,"83","Free",35,48,19371648,2.49882e+11,0.832,69806.4401983146,738.5581665
"Russian Federation","DFC",41.49,5.27,"19","Not Free",5,14,144406261,1.69311e+12,0.845,562609.01748483,653.4172363
